1,"Origen","HF183","HF134","CF128","CF193","Enterococs","Mitoc Huma","Mitoc Porcí","Mitoc Boví","ADO","DEN"
"Gavà 14.01.02",1,1,0,0,0,"?",1,"?","?","?","?"
"HM0302",1,0,0,0,0,"?",1,0,0,1,1
"HM0307",1,0,0,0,0,0,0,0,0,1,1
"HM0311",1,0,0,0,0,0,1,0,0,1,1
"HM0404",1,1,1,0,0,"?",1,1,0,1,0
"HM0503",1,1,1,0,0,0,1,0,1,0,0
"HM0603",1,1,1,0,0,0,1,0,0,0,0
"HM0606",1,0,0,0,0,"?",0,0,0,1,0
"HM0611",1,1,1,0,0,0,1,0,1,1,1
"HM0703",1,0,0,0,0,"?",1,"?","?","?","?"
"HM0705",1,"?","?","?","?",0,1,0,0,1,1
"HM0811",1,1,1,0,0,"?","?","?","?",1,1
"HM1104",1,1,0,0,0,0,1,0,1,1,1
"HM1111",1,1,0,0,0,"?",1,"?","?",1,1
"HM1102",1,1,0,0,0,0,1,1,0,1,1
"HM1209",1,"?","?","?","?","?","?","?","?","?","?"
"HM1212",1,0,0,0,0,0,0,0,0,1,1
"HM1402",1,1,1,0,0,"?",1,0,0,1,0
"HM1701",1,0,0,0,0,"?",1,0,0,1,0
"HM2001",1,1,1,0,0,"?",1,0,0,1,1
"HM2108",1,1,0,0,0,0,0,0,0,1,1
"HM2211",1,1,1,0,0,0,1,0,1,1,0
"HM1209",1,1,0,0,0,0,1,0,1,1,1
"HM2505",1,1,1,0,0,0,1,0,0,1,0
"HM2704",1,0,1,0,0,"?",1,0,0,1,0
"HM2706",1,1,1,0,0,"?",1,0,0,1,0
"HM3001",1,1,1,0,0,0,1,0,0,1,0
"HM3101",1,0,0,0,0,0,1,0,0,"?","?"
"P1HM02",1,"?","?","?","?","?",1,"?","?",1,1
"P1HM04",1,1,0,0,0,"?",0,1,0,1,1
"P1HM05",1,0,0,0,0,"?",1,"?","?",1,1
"P1HM06",1,0,0,0,0,1,1,1,0,1,1
"P1HM07",1,"?","?","?","?","?","?",0,0,1,1
"P1HM08",1,0,0,0,0,"?",1,"?","?",1,0
"P1HM10",1,0,0,0,0,"?",1,0,0,1,1
"P1HM11",1,"?","?","?","?","?",1,"?","?","?","?"
"P1HM12",1,0,0,0,"?",0,1,0,0,1,1
"P1HM14",1,1,0,0,0,"?",0,0,0,1,1
"P1HM15",1,0,0,0,0,"?",1,0,0,1,0
"P1HM16",1,"?","?","?","?","?",1,0,"?",1,1
"P1HM17",1,1,0,0,0,"?","?","?","?",1,1
"P1HM18",1,0,0,0,0,"?","?","?","?",1,1
"P1HM19",1,"?","?","?","?",0,1,"?","?",1,1
"P1HM20",1,"?","?","?","?",0,1,0,0,1,0
"P1HM21",1,"?","?","?","?",0,1,0,0,1,0
"P1HM22",1,"?","?","?","?",0,1,"?","?",1,0
"P1HM25",1,0,0,0,0,"?",1,"?","?",1,1
"P2HM21",1,0,0,0,0,0,1,0,0,1,1
"P3HM16",1,0,0,0,0,0,0,0,0,1,1
"P5HM19",1,"?","?","?","?","?",1,0,0,"?","?"
"P5HM21",1,0,0,0,0,"?",1,"?","?",1,1
"CW0404",2,1,0,1,0,"?",0,0,1,0,0
"CW1",2,"?","?","?","?","?","?",0,1,"?","?"
"CW1312G",2,0,0,1,0,"?",0,0,1,0,0
"CW1312P",2,0,0,0,0,0,1,0,1,0,0
"CW1605",2,"?","?","?","?",0,1,0,1,1,0
"CW1801",2,0,0,1,0,0,1,0,1,0,0
"CW2001",2,1,0,1,0,0,0,0,1,1,0
"CW2002/A",2,0,0,0,0,0,1,0,1,1,0
"CW2002/C",2,0,0,0,0,0,1,1,1,1,0
"CW2002/S",2,0,0,0,0,0,0,0,1,0,0
"CW2102",2,0,0,1,0,0,0,0,0,"?","?"
"CW2103",2,0,0,0,0,0,0,0,1,0,0
"CW2303",2,0,0,0,0,0,1,0,1,0,0
"CW2305",2,"?","?","?","?","?","?",0,"?","?","?"
"CW2501",2,1,1,0,0,0,1,1,1,0,0
"P1CW04",2,0,0,0,0,0,0,0,1,"?","?"
"P1CW05",2,"?","?","?","?","?",0,0,0,0,0
"P1CW06",2,"?","?","?","?","?","?",0,1,"?","?"
"P1CW08",2,"?","?","?","?","?","?",0,1,"?","?"
"P1CW09",2,0,0,0,0,0,1,"?","?",1,0
"P1CW10",2,0,0,0,0,0,1,1,1,0,0
"P1CW14",2,"?","?","?","?","?","?","?","?","?","?"
"P2CW14",2,0,0,0,0,0,0,0,1,0,0
"P2CW16",2,0,0,0,0,0,0,"?",1,1,1
"P3CW13",2,0,0,0,0,"?","?",0,0,"?","?"
"P4CW05",2,0,0,0,0,"?","?",0,0,"?","?"
"P1PL10",3,"?","?","?","?","?",1,0,0,0,0
"P1PL11",3,"?","?","?","?","?","?",0,1,"?","?"
"P1PL12",3,"?","?","?","?","?",1,0,0,0,0
"P1PL13",3,0,0,0,0,0,1,0,0,0,0
"P1PL14",3,0,0,0,0,0,1,0,0,1,0
"P1PL15",3,0,0,0,0,0,"?",0,0,"?","?"
"P1PL16",3,0,"?",0,0,"?","?","?",0,"?","?"
"P1PL19",3,"?","?","?","?","?",0,"?","?","?","?"
"P5PL19",3,0,0,0,0,0,"?",0,0,1,1
"PL0102A",3,1,1,0,0,"?",1,0,0,0,0
"PL0102T",3,0,0,0,0,0,1,0,0,0,0
"PL0112A",3,1,0,0,0,0,1,0,"?",0,0
"PL0112T",3,"?","?","?","?","?","?","?","?","?","?"
"PL0205A",3,1,0,0,0,"?",1,1,1,0,0
"PL0205T",3,1,1,0,0,"?",0,"?",0,1,1
"PL0703A",3,0,0,0,0,"?",0,0,0,"?","?"
"PL0703T",3,1,1,0,0,"?",0,0,0,"?","?"
"PL1102A",3,"?","?","?","?","?","?",0,0,0,0
"PL1312A",3,1,0,0,0,0,"?",0,1,0,0
"PL1312T",3,1,1,0,0,0,"?",0,0,0,0
"PL1402A",3,"?","?","?","?","?","?","?","?","?","?"
"PL1402T",3,0,0,0,0,"?","?",0,0,"?","?"
"PL1506",3,1,1,0,0,0,0,0,0,"?","?"
"PL1511A",3,1,1,0,0,0,"?",0,"?",1,0
"PL1511T",3,1,0,0,1,"?",0,0,0,0,1
"PL1701A",3,1,1,0,0,"?",1,0,0,0,0
"PL1701T",3,1,1,0,0,0,1,0,0,0,0
"PL17012A",3,0,1,0,0,0,"?",0,"?","?","?"
"PL17012T",3,1,1,0,0,0,"?",0,0,0,"?"
"PL2102/A",3,0,0,0,0,0,0,0,0,0,0
"PL2102/T",3,0,0,0,0,0,1,0,0,0,0
"PL2109/A",3,1,1,0,0,0,1,0,0,0,0
"PL2109/T",3,1,1,0,0,0,0,0,0,0,0
"P1PG05",4,0,0,0,0,0,"?",1,"?",0,0
"P1PG06",4,"?","?","?","?","?",1,1,"?",0,0
"P1PG07",4,"?","?","?","?","?",1,1,"?",0,0
"P1PG08",4,"?","?","?","?","?",1,"?","?",0,0
"P1PG09",4,"?","?","?","?","?",0,"?","?",0,0
"P1PG10",4,0,0,0,0,"?",1,1,0,0,0
"P1PG11",4,0,0,0,0,"?","?","?","?",0,0
"P1PG12",4,0,0,0,0,"?",0,0,0,0,0
"P4PG09",4,0,0,0,0,"?",1,0,0,0,0
"P5PG19",4,0,0,0,0,0,0,1,0,0,0
"P5PG20",4,0,0,0,0,"?",1,1,0,0,0
"PG0111",4,"?","?","?","?","?","?","?","?",1,0
"PG0204",4,0,0,0,0,0,0,1,0,0,0
"PG0404",4,1,1,0,0,"?",0,1,0,0,0
"PG0812",4,0,0,0,0,"?",0,1,0,0,0
"PG1201",4,0,0,0,0,0,1,1,0,0,0
"PG1203/E",4,0,0,0,0,0,1,1,0,1,0
"PG1203/M",41,0,0,0,0,"?",1,1,0,0,0
"PG1305",41,"?","?","?","?",0,0,1,0,1,0
"PG1512",4,"?","?",0,0,0,1,1,0,0,0
"PG1605",4,"?","?","?","?",0,1,1,1,1,0
"PG1701/E",4,0,0,0,0,0,0,1,0,0,0
"PG1701/T",41,0,0,0,0,0,1,1,0,1,1
"PG2001/F1",4,0,0,0,0,0,0,1,1,0,0
"PG2001/FF",4,0,0,0,0,1,1,1,1,1,1
"PG2002",4,0,0,0,0,0,1,0,0,0,0
"PG2003",4,0,0,0,0,0,1,1,0,0,0
"PG2102/F1",4,0,0,0,0,"?",1,0,0,"?","?"
"PG2102/FF",4,0,0,0,0,"?",1,1,1,0,0
"PG2103???",41,0,0,0,0,"?",0,"?",0,"?","?"
"PG2301/E",4,0,0,0,0,0,0,1,0,1,0
"PG2301/MD",41,1,0,0,0,0,1,1,0,1,0
"PG2303",4,0,0,0,0,"?",1,1,0,0,0
"PG2501",4,0,0,0,0,0,1,1,1,1,0
"PG2503",41,0,0,0,0,0,0,1,0,1,0
"PG2805RT",4,"?","?","?","?",0,0,1,0,0,0
"PG2805StE",4,"?","?","?","?",0,1,1,0,0,0
"PG2905",4,1,0,0,0,0,1,1,0,0,0
